Proteins,Eliot PAR, Eliot EXO,Clov PAR, Clov EXO,Tato PAR, Tato EXO,Samo PAR, Samo EXO,Flash PAR, Flash EXO,Gus 2 PAR, Gus 2 EXO, Fritz 2 PAR,Fritz 2 EXO,Tessa 2 PAR,Tessa 2 EXO,Fritz 1 PAR,Fritz 1 EXO,Tessa 1 PAR,Tessa 1 EXO,Gus 1 PAR,Gus 1 EXO
Dihydrolipoamide acetyltransferaselike protein OS=Leishmania infantum OX=5671 GN=LINF_210011100 PE=4 SV=1,22,0,15,0,22,0,15,0,18,0,20,0,18,3,18,0,22,0,18,0,20,0
Dihydrolipoamide_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=GCVL-1 PE=3 SV=1,7,0,3,0,4,0,2,0,1,2,12,0,4,3,3,0,11,0,3,0,11,0
Dihydrolipoyl dehydrogenase OS=Leishmania infantum OX=5671 GN=GCVL-2 PE=3 SV=1,83,3,72,0,94,3,100,2,89,19,63,2,93,0,71,0,101,4,81,0,73,5
Dihydroorotase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160011100 PE=4 SV=1,1,0,1,0,1,0,1,0,2,0,0,2,3,0,0,0,1,0,1,0,0,0
Dihydroorotate dehydrogenase (fumarate) OS=Leishmania infantum OX=5671 GN=DHODH PE=3 SV=1,4,4,5,0,3,0,8,0,3,0,2,0,7,0,1,0,5,0,3,0,4,0
Dihydroxyacetone kinase 1-like protein OS=Leishmania infantum OX=5671 GN=LINF_100009600 PE=4 SV=1,4,0,2,0,6,0,2,0,2,0,8,0,7,0,11,0,5,0,4,0,9,0
Dimethylargininase OS=Leishmania infantum OX=5671 GN=LINF_080017500 PE=3 SV=1,12,0,19,0,41,4,27,0,30,24,11,7,22,0,10,0,21,5,24,0,21,4
Dipeptidyl peptidase 3 OS=Leishmania infantum OX=5671 GN=LINF_050014800 PE=3 SV=1,92,62,90,7,113,20,57,10,96,56,75,65,88,28,82,8,179,44,171,37,74,44
Dipeptidyl-peptidase_8-like_serine_peptidase OS=Leishmania infantum OX=5671 GN=LINF_360031600 PE=4 SV=1,10,4,10,0,6,0,5,0,7,2,9,3,9,0,10,0,11,7,8,0,10,0
Dipeptylcarboxypeptidase OS=Leishmania infantum OX=5671 GN=DCP PE=3 SV=2,14,26,37,0,24,4,44,6,50,35,16,33,40,11,46,4,6,42,36,7,16,14
Diphosphomevalonate decarboxylase OS=Leishmania infantum OX=5671 GN=LINF_180005200 PE=3 SV=1,20,11,19,0,25,0,29,0,38,9,20,4,40,0,23,0,51,6,22,5,22,2
Diphthine methyl ester synthase OS=Leishmania infantum OX=5671 GN=LINF_310023400 PE=3 SV=1,0,0,0,0,3,0,0,0,3,0,2,0,1,0,3,0,2,0,1,0,4,0
D-isomer specific 2-hydroxyacid dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_340021200 PE=4 SV=1,48,18,74,13,94,23,51,11,73,17,14,9,71,6,59,8,0,11,55,24,26,9
Divalent_cation_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280025900 PE=4 SV=1,4,8,4,0,2,0,6,0,4,8,1,4,9,0,0,0,3,0,5,8,3,0
D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_270027300 PE=4 SV=1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0
D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290007800 PE=4 SV=1,4,0,7,0,8,0,6,0,7,7,2,0,3,2,6,0,7,6,12,5,4,6
DNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_080013300 PE=3 SV=1,1,0,1,0,2,0,2,0,4,0,3,0,4,0,2,0,2,0,2,0,2,0
DNA topoisomerase I OS=Leishmania infantum OX=5671 GN=LINF_340041300 PE=1 SV=1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
DNA topoisomerase OS=Leishmania infantum OX=5671 GN=LINF_210006600 PE=3 SV=1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DNA topoisomerase OS=Leishmania infantum OX=5671 GN=LINF_280024100 PE=3 SV=1,4,2,7,6,5,16,2,13,5,10,2,4,5,4,4,0,8,11,6,3,4,0
DNA-directed RNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_160019300 PE=3 SV=1,5,6,9,3,3,0,3,0,2,5,1,0,2,5,0,0,0,17,2,0,1,0
DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250011500 PE=3 SV=1,1,2,3,4,2,0,0,0,1,5,0,0,1,5,0,0,0,8,1,0,0,0
DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_310006600 PE=3 SV=1,12,9,8,3,17,12,7,5,15,19,4,0,11,9,11,0,8,31,3,0,6,0
DNA-directed RNA polymerase subunit OS=Leishmania infantum OX=5671 GN=RPOIILS PE=3 SV=1,17,9,15,12,15,19,9,9,20,26,7,0,14,13,5,0,8,33,8,0,8,0
Dnaj chaperone-like protein OS=Leishmania infantum OX=5671 GN=LINF_330016300 PE=4 SV=1,0,13,0,0,0,0,0,0,0,20,0,15,0,8,0,0,0,2,0,0,0,8
DnaJ_domain/C2H2_type_zinc-finger_(2_copies )/Zinc-finger_of_C2H2_type/Zinc-finger_double-stranded_RNA-binding_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250029000 PE=4 SV=1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain/Domain_of_uncharacterized_function_(D UF3395)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014300 PE=4 SV=1,12,0,13,0,9,0,13,0,7,0,7,0,13,0,2,0,8,0,8,0,12,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180008300 PE=4 SV=2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260017000 PE=4 SV=1,0,0,3,0,1,0,3,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260019100 PE=4 SV=1,1,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260031000 PE=4 SV=1,0,0,0,0,2,0,1,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310010500 PE=4 SV=1,2,0,5,0,6,0,9,0,5,0,3,0,5,0,2,0,2,0,3,0,3,0
DNAJ_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240010000 PE=4 SV=1,15,0,9,0,11,0,22,0,21,4,15,5,18,0,17,0,13,0,14,0,19,2
DnaJ_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210010300 PE=3 SV=1,7,8,10,2,5,12,9,5,11,5,2,5,8,7,1,0,11,3,9,6,0,0
DNAj-like protein OS=Leishmania infantum OX=5671 GN=LINF_250017100 PE=4 SV=1,6,0,3,0,2,0,7,0,2,0,3,0,2,0,3,0,5,0,2,0,1,0
DNL_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250013800 PE=4 SV=1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichol-phosphate mannosyltransferase subunit 1 OS=Leishmania infantum OX=5671 GN=DPMS PE=3 SV=1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Dolicholphosphate-mannose_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360008300 PE=4 SV=1,0,0,2,0,2,0,1,0,0,0,3,0,2,0,6,0,3,0,2,0,3,0
Dolichyl_pyrophosphate_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300009100 PE=4 SV=1,0,0,1,0,3,0,1,0,2,0,0,0,3,0,2,0,2,0,0,0,2,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016000 PE=3 SV=1,15,5,15,0,13,0,37,0,19,10,17,7,13,0,16,0,13,0,15,0,21,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016300 PE=3 SV=1,8,0,8,0,7,0,21,0,9,5,5,0,5,0,6,0,5,0,8,0,10,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016400 PE=3 SV=1,12,0,14,0,10,0,41,0,19,8,16,7,11,7,16,0,12,0,12,0,21,6
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINJ_35_1150 PE=3 SV=1,15,0,16,0,13,0,40,0,19,0,16,0,13,0,15,0,15,0,15,0,21,0
Dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl_alpha-1_-3-mannosyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029600 PE=4 SV=1,2,0,2,0,3,0,4,0,3,0,2,0,3,0,1,0,2,0,1,0,3,0
Domain_of_uncharacterized_function_(DUF1767)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_230005900 PE=4 SV=1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017900 PE=4 SV=1,4,17,13,15,19,6,2,0,7,24,7,36,5,16,15,31,9,17,8,22,8,24
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_250024200 PE=4 SV=1,0,13,1,5,0,0,0,0,0,9,0,17,0,0,4,11,1,0,0,6,1,18
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_340007000 PE=4 SV=1,7,0,9,0,14,0,2,0,4,0,9,4,7,0,45,3,13,0,7,0,16,4
Domain_of_uncharacterized_function_(DUF202)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_140016500 PE=4 SV=1,1,0,3,0,2,4,1,0,3,3,2,5,2,5,2,0,5,0,3,5,5,2
Domain_of_uncharacterized_function_(DUF3819)/CCR4 -Not_complex_component_-_Not1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210013800 PE=4 SV=1,59,2,59,5,82,13,75,19,78,12,47,0,71,7,67,0,87,30,60,3,57,0
Domain_of_uncharacterized_function_(DUF3846 )/TPR_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044000 PE=4 SV=1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF4042 )/HEAT-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210015700 PE=4 SV=1,1,0,2,0,1,0,4,0,3,0,0,0,1,0,3,0,2,0,2,0,3,0
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_290028700 PE=4 SV=1,3,13,7,2,2,0,1,0,3,11,2,11,1,6,4,5,5,4,2,12,1,17
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_300014900 PE=4 SV=1,0,13,0,6,0,0,0,0,0,10,0,12,0,6,0,5,0,5,0,8,0,9
Domain_of_uncharacterized_function_(DUF4499)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_210016000 PE=4 SV=1,3,0,2,0,2,0,4,0,2,0,4,0,3,0,2,0,3,0,3,0,2,0
Domain_of_uncharacterized_function_(DUF543)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_270022100 PE=3 SV=1,11,0,11,0,10,0,12,0,10,0,13,0,13,0,11,0,12,0,12,0,13,0
Double_RNA_binding_domain_protein_7 OS=Leishmania infantum OX=5671 GN=LINF_340051800 PE=4 SV=1,0,0,1,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0
D-Tyr-tRNA(Tyr)_deacylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340040600 PE=4 SV=1,7,0,3,0,4,0,3,0,5,0,6,3,6,0,6,0,3,0,4,0,5,0
Dual_specificity_protein_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270029300 PE=4 SV=1,4,0,3,0,2,0,2,0,1,0,2,0,4,0,1,0,0,0,1,0,1,0
D-xylulose_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330011700 PE=3 SV=1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0
Dymeclin OS=Leishmania infantum OX=5671 GN=LINF_010008900 PE=3 SV=1,1,0,3,0,2,0,1,0,3,0,0,0,1,0,1,0,1,0,2,0,6,0
Dynamin_family/50S_ribosome-binding_GTPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340028100 PE=4 SV=1,0,3,0,0,2,0,1,0,0,3,0,11,0,10,0,5,1,2,1,4,0,13
Dynamin-1-like_protein OS=Leishmania infantum OX=5671 GN=LINF_290029700 PE=3 SV=1,64,16,46,29,63,29,59,32,50,23,67,10,63,38,75,0,76,73,53,18,69,5
Dynein intermediate-chain-like protein OS=Leishmania infantum OX=5671 GN=LINF_240007500 PE=4 SV=1,0,3,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0
Dynein light chain OS=Leishmania infantum OX=5671 GN=LINF_320007400 PE=3 SV=1,0,0,0,0,2,5,2,6,1,3,1,3,1,0,2,0,4,0,0,3,1,3
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022000 PE=4 SV=1,14,5,11,0,13,0,23,0,8,0,5,0,8,0,55,0,6,2,28,0,7,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250015700 PE=4 SV=2,7,10,7,0,5,9,12,3,3,9,2,3,2,4,44,0,5,10,18,4,5,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024300 PE=4 SV=1,15,9,23,0,18,6,14,7,15,0,9,8,16,0,26,0,20,0,26,5,14,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049400 PE=4 SV=2,24,7,20,0,27,2,17,6,18,0,18,13,24,0,37,0,21,5,23,2,22,2
Dynein_heavy_chain_and_region_D6_of_dynein_motor/ Ankyrin_repeats_(3_copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350059000 PE=4 SV=1,5,2,6,2,5,2,0,0,3,0,2,2,8,0,9,0,2,0,6,0,2,0
Dynein-associated roadblock protein-like protein OS=Leishmania infantum OX=5671 GN=LINJ_35_1740 PE=3 SV=1,2,3,3,0,2,0,5,0,3,0,3,5,4,0,5,0,3,2,3,2,3,4
E3 ubiquitin-protein ligase OS=Leishmania infantum OX=5671 GN=LINF_090013600 PE=3 SV=1,2,0,9,0,11,0,4,0,2,0,0,0,5,0,8,0,20,0,14,0,4,0
EAP30/Vps36_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340021900 PE=3 SV=1,3,0,3,0,2,0,2,0,3,0,2,0,3,0,3,0,3,0,2,0,4,0
Ecotin-like protein 1 OS=Leishmania infantum OX=5671 GN=ISP1 PE=3 SV=1,0,0,0,0,1,0,0,0,1,0,0,3,1,0,2,4,0,4,0,2,0,0
Ecotin-like protein 3 OS=Leishmania infantum OX=5671 GN=LinJ15.0540 PE=3 SV=1,0,6,0,0,0,0,0,0,0,10,0,12,0,0,0,16,0,18,0,12,0,9
EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160014800 PE=4 SV=1,0,0,1,0,3,0,0,0,0,0,2,6,0,0,3,2,1,0,0,0,3,0
EF-hand_domain_pair/EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044800 PE=4 SV=1,2,0,2,0,2,0,2,0,2,0,2,0,4,0,2,0,2,0,2,0,2,0
Ef-hand_protein_5_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090015300 PE=4 SV=1,0,9,0,3,0,3,0,2,0,6,0,11,0,6,0,2,0,9,0,9,0,7
Electron transfer flavoprotein subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_280017100 PE=3 SV=1,44,0,24,0,30,0,28,0,34,0,37,0,36,0,39,0,41,0,32,0,38,0
Electron transfer flavoprotein subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250006300 PE=3 SV=1,1,0,3,0,0,0,3,0,2,0,4,0,4,0,5,0,12,0,6,0,6,0
Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Leishmania infantum OX=5671 GN=LINF_070011500 PE=4 SV=1,15,3,18,0,16,0,8,0,8,0,15,0,18,0,22,0,33,0,16,0,20,0
Elongation factor 1-alpha OS=Leishmania infantum OX=5671 GN=LINF_170005900 PE=3 SV=1,503,134,565,154,401,208,547,403,449,176,1034,199,598,195,695,135,750,99,359,191,694,164
Elongation factor 1-beta OS=Leishmania infantum OX=5671 GN=eEF1B beta 2 PE=3 SV=1,20,27,40,14,28,12,24,9,24,18,33,26,31,14,32,4,38,23,25,12,31,19
Elongation factor 2 OS=Leishmania infantum OX=5671 GN=EF2-1 PE=3 SV=1,749,174,798,107,581,120,638,125,684,135,769,246,770,212,670,61,619,179,570,177,697,175
Elongation factor 2-like protein OS=Leishmania infantum OX=5671 GN=LINF_250027700 PE=3 SV=1,3,0,2,0,0,0,2,0,3,0,2,0,3,0,1,0,1,0,4,0,2,0
"Elongation factor G, mitochondrial OS=Leishmania infantum OX=5671 GN=MEFG PE=3 SV=1",15,0,15,0,22,0,31,0,26,0,12,0,25,0,8,0,16,0,15,0,6,0
"Elongation factor Ts, mitochondrial OS=Leishmania infantum OX=5671 GN=LinJ29.0880 PE=3 SV=1",5,0,3,0,4,0,5,0,7,0,4,0,5,0,2,0,5,0,6,0,6,0
Elongation factor-1 gamma OS=Leishmania infantum OX=5671 GN=EF1G PE=4 SV=1,65,24,63,16,68,31,80,45,85,13,89,23,71,17,88,0,84,19,63,26,88,10
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012000 PE=3 SV=1,9,0,3,0,3,0,7,0,6,0,0,0,9,0,0,0,1,0,3,0,2,0
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012100 PE=3 SV=1,20,8,16,3,15,6,17,4,16,7,10,8,17,7,10,0,16,0,15,5,15,9
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012200 PE=3 SV=1,11,0,6,0,7,0,13,0,8,2,5,7,12,0,7,0,14,0,10,0,14,4
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012300 PE=3 SV=1,28,7,22,0,20,5,28,4,20,9,9,13,31,6,11,0,15,0,25,5,26,7
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012800 PE=3 SV=1,3,5,3,0,2,0,4,0,3,5,2,6,6,4,2,0,1,0,2,2,2,4
Elongation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250006400 PE=4 SV=1,24,0,22,0,13,0,22,0,17,0,13,0,13,0,11,0,8,0,21,0,12,0
Elongation_factor_P_(EF-P)_KOW-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250023100 PE=4 SV=1,8,0,4,0,3,0,6,0,4,0,7,0,4,0,4,0,4,0,7,0,6,0
Elongation_factor_Tu_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180012600 PE=3 SV=1,39,0,48,0,59,0,50,0,72,2,40,0,62,0,25,0,68,0,38,3,26,0
Emopamil_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017300 PE=4 SV=1,2,0,3,0,1,0,3,0,1,0,2,0,3,0,3,0,2,0,1,0,5,0
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017400 PE=3 SV=1,2,0,2,0,4,0,3,0,6,0,6,0,3,0,5,0,4,0,2,0,1,0
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017500 PE=3 SV=1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Endoplasmic_reticulum_oxidoreductin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160021400 PE=3 SV=1,4,0,4,0,2,0,9,0,4,0,4,3,3,0,3,0,8,0,4,0,2,0
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036000 PE=4 SV=1,0,0,0,0,2,0,0,0,1,0,1,4,2,0,1,0,4,0,2,0,2,0
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046300 PE=4 SV=1,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
Endoribonuclease_L-PSP_(Pb5)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230007100 PE=4 SV=1,78,24,61,9,57,4,66,8,58,18,69,15,67,12,57,2,68,14,70,14,75,12
Engulfment_and_cell_motility_domain_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260023800 PE=4 SV=1,1,0,1,0,2,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,4,0
"Enoyl-CoA hydratase/isomerase family protein,conserved OS=Leishmania infantum OX=5671 GN=LINF_350008700 PE=4 SV=1",2,0,5,0,6,0,9,0,12,3,7,0,7,0,5,0,8,0,6,0,6,0
Enoyl-CoA hydratase/isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290030800 PE=3 SV=1,5,0,0,0,1,0,1,0,5,0,8,0,5,0,2,0,7,0,2,0,10,0
Enoyl-CoA_hydratase/isomerase_family/2-enoyl-CoA_Hydratase_C-terminal_region_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041200 PE=4 SV=1,3,0,1,0,5,0,1,0,2,0,1,0,3,0,3,0,1,0,2,0,1,0
Enoyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250024400 PE=3 SV=1,62,11,44,6,44,4,60,4,50,7,42,15,45,7,46,0,55,6,43,7,48,10
Enriched_in_surface-labeled_proteome_protein_16 OS=Leishmania infantum OX=5671 GN=LINF_320026100 PE=4 SV=1,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
Epsin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250012000 PE=4 SV=1,6,4,6,0,4,0,4,0,5,0,4,0,3,0,7,0,4,4,4,0,4,0
ER membrane protein complex subunit 1 OS=Leishmania infantum OX=5671 GN=LINF_340049100 PE=3 SV=2,46,7,46,0,34,5,58,0,47,9,35,9,42,8,29,0,25,0,45,4,36,4
ER membrane protein complex subunit 2 OS=Leishmania infantum OX=5671 GN=LINF_170008100 PE=3 SV=1,0,2,0,0,0,2,2,2,1,3,3,3,0,0,1,0,1,0,1,3,0,2
ER membrane protein complex subunit 3 OS=Leishmania infantum OX=5671 GN=LINF_360008800 PE=3 SV=1,6,5,4,2,5,3,6,0,6,6,6,6,5,3,5,0,3,0,3,0,6,3
ER membrane protein complex subunit 6 OS=Leishmania infantum OX=5671 GN=LINF_320037200 PE=3 SV=1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERF1_domain_1/eRF1_domain_2/eRF1_domain_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024100 PE=3 SV=1,23,5,19,4,16,10,25,19,21,4,22,5,24,3,17,0,21,5,15,5,18,2
Ethanolamine-phosphate_cytidylyltransferase OS=Leishmania infantum OX=5671 GN=LINF_320014500 PE=3 SV=1,2,0,2,0,1,0,2,0,3,0,3,0,6,0,2,0,3,0,0,0,1,0
Eukaryotic translation initiation factor 2A OS=Leishmania infantum OX=5671 GN=LINF_160012300 PE=3 SV=1,1,0,4,0,3,0,1,0,3,0,0,0,1,0,2,0,1,0,4,0,0,0
Eukaryotic translation initiation factor 3 subunit 7-like protein OS=Leishmania infantum OX=5671 GN=LINF_300036000 PE=4 SV=1,31,30,34,65,30,81,28,71,32,29,21,22,25,35,22,9,31,33,22,49,24,13
Eukaryotic translation initiation factor 3 subunit E OS=Leishmania infantum OX=5671 GN=LINF_280029900 PE=3 SV=1,15,28,23,21,16,78,18,53,27,42,20,18,16,48,22,2,14,40,17,23,19,17
Eukaryotic translation initiation factor 3 subunit I OS=Leishmania infantum OX=5671 GN=LINF_360047700 PE=3 SV=1,22,13,25,20,18,29,23,23,24,10,18,12,19,19,16,3,24,23,22,19,16,7
Eukaryotic translation initiation factor 3 subunit L OS=Leishmania infantum OX=5671 GN=LINF_360007700 PE=3 SV=1,41,58,30,65,33,125,46,88,41,81,41,51,45,91,33,7,42,118,23,60,43,32
Eukaryotic translation initiation factor 5B OS=Leishmania infantum OX=5671 GN=LINF_330036700 PE=4 SV=1,23,7,22,2,15,2,18,0,13,3,14,2,26,0,14,0,24,0,19,2,15,0
Eukaryotic translation initiation factor 6 OS=Leishmania infantum OX=5671 GN=EIF6 PE=3 SV=1,16,0,15,0,13,0,14,3,19,2,13,0,17,0,8,0,12,2,13,0,9,0
Eukaryotic_initiation_factor_2a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030014900 PE=3 SV=1,28,29,35,17,26,33,33,32,36,37,41,27,38,24,39,6,30,15,23,27,38,19
Eukaryotic_protein_of_uncharacterized_function_(D UF866)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009300 PE=4 SV=1,3,0,2,0,2,0,4,0,4,0,0,0,2,0,0,0,7,0,6,0,0,0
Eukaryotic_protein_of_uncharacterized_function_(D UF914)/EamA-like_transporter_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Eukaryotic_release_factor_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017700 PE=4 SV=1,24,2,27,0,17,3,27,3,21,2,22,10,20,3,14,0,19,5,33,8,21,0
Eukaryotic_translation_initation_factor_4_gamma_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070500 PE=4 SV=1,34,5,33,0,22,3,31,0,37,0,28,2,43,2,27,0,35,0,19,0,31,0
Eukaryotic_translation_initiation_factor_1A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160006500 PE=3 SV=1,6,0,5,0,2,0,4,0,6,0,1,0,3,0,3,0,6,0,6,0,2,0
Eukaryotic_translation_initiation_factor_2_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080010700 PE=3 SV=1,20,4,29,3,28,5,27,7,27,0,19,0,26,0,22,0,35,2,23,7,18,0
Eukaryotic_translation_initiation_factor_3_subunit_8_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360081900 PE=4 SV=1,91,78,106,134,76,148,93,130,84,93,77,70,96,98,67,10,91,130,87,78,69,42
