"","x"
"231","ATP-binding cassette protein subfamily C, member 2 OS=Leishmania infantum OX=5671 GN=putative ABCC2 PE=4 SV=1"
"232","ATP-binding cassette protein subfamily D, member 2 OS=Leishmania infantum OX=5671 GN=putative ABCD2 PE=4 SV=1"
"233","ATP-binding cassette protein subfamily D, member 3 OS=Leishmania infantum OX=5671 GN=putative ABCD3 PE=4 SV=1"
"234","ATP-binding cassette protein subfamily E, member 1 OS=Leishmania infantum OX=5671 GN=putative ABCE1 PE=4 SV=1"
"235","ATP-binding cassette protein subfamily F, member 1 OS=Leishmania infantum OX=5671 GN=putative ABCF1 PE=4 SV=1"
"236","ATP-binding cassette protein subfamily F, member 3 OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1"
"237","ATP-binding cassette protein subfamily G, member 5 OS=Leishmania infantum OX=5671 GN=putative ABCG5 PE=4 SV=1"
"238","ATP-binding_cassette_protein_subfamily_B_-_member_2_-_putative OS=Leishmania infantum OX=5671 GN=MDR1 PE=4 SV=1"
"239","ATP-dependent 6-phosphofructokinase OS=Leishmania infantum OX=5671 GN=pfk PE=3 SV=1"
"240","ATP-dependent Clp protease subunit, heat shock protein 100 (HSP100) OS=Leishmania infantum OX=5671 GN=LINF_290018600 PE=3 SV=1"
"241","ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78) OS=Leishmania infantum OX=5671 GN=LINF_020012400 PE=4 SV=1"
"242","ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070008800 PE=4 SV=1"
"243","ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080005700 PE=3 SV=1"
"244","ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220021200 PE=4 SV=1"
"245","ATP-dependent_DEAD-box_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350008800 PE=3 SV=1"
"246","ATP-dependent_protease_ATPase_subunit_HslU OS=Leishmania infantum OX=5671 GN=hslU PE=2 SV=1"
"247","ATP-dependent_protease_ATPase_subunit_HslU1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150005800 PE=3 SV=1"
"248","ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130009900 PE=4 SV=1"
"249","ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310007700 PE=4 SV=1"
"250","ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320009100 PE=3 SV=1"
"251","ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350036300 PE=4 SV=1"
"252","ATP-dependent_RNA_helicase_FAL1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280021300 PE=3 SV=1"
"253","ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011400 PE=3 SV=1"
"254","ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190022300 PE=3 SV=1"
"255","ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012700 PE=3 SV=1"
"256","Autophagocytosis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330008400 PE=4 SV=1"
"257","Autophagy-related_protein_24 OS=Leishmania infantum OX=5671 GN=LINF_350029500 PE=4 SV=1"
"258","BCS1_N domain-containing protein (Fragment) OS=Leishmania infantum OX=5671 GN=LINJ_34_1440 PE=3 SV=1"
"259","Beta_eliminating_lyase_-putative OS=Leishmania infantum OX=5671 GN=LINF_010009900 PE=4 SV=1"
"260","Beta_propeller_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230005300 PE=4 SV=1"
"261","Bifunctional dihydrofolate reductase-thymidylate synthase OS=Leishmania infantum OX=5671 GN=DHFR-TS PE=3 SV=1"
"262","Bifunctional NAD(P)H-hydrate repair enzyme OS=Leishmania infantum OX=5671 GN=LINJ_14_1270 PE=3 SV=1"
"263","Biotin/lipoate protein ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_310016800 PE=4 SV=1"
"264","Branch_point_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360063900 PE=4 SV=1"
"265","BRCA1_C_Terminus_(BRCT )_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350053700 PE=4 SV=1"
"266","BRO1-like_domain/ALIX_V-shaped_domain_binding_to_HIV_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270023300 PE=4 SV=1"
"267","BRO1-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250028500 PE=3 SV=1"
"268","C-14_sterol_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320029600 PE=3 SV=1"
"269","C2_domain/Ankyrin_repeats_(3_copies )/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060012700 PE=4 SV=1"
"270","C2_domain_in_Dock180_and_Zizimin_proteins_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290006000 PE=3 SV=1"
"271","C-5_sterol_desaturase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310011600 PE=4 SV=1"
"272","C-8 sterol isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290029100 PE=3 SV=1"
"273","CAAX prenyl protease OS=Leishmania infantum OX=5671 GN=LINF_270005300 PE=3 SV=1"
"274","Calcium_motive_p-type_ATPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350025900 PE=4 SV=1"
"275","Calcium-transporting ATPase OS=Leishmania infantum OX=5671 GN=LINF_040005000 PE=3 SV=2"
"276","Calmodulin OS=Leishmania infantum OX=5671 GN=LINF_090015400 PE=3 SV=1"
"277","Calmodulin-like_protein_containing_EF_hand_domain OS=Leishmania infantum OX=5671 GN=LINF_090006100 PE=4 SV=1"
"278","Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140014400 PE=4 SV=1"
"279","Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270010200 PE=4 SV=1"
"280","Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310009200 PE=4 SV=1"
"281","Calreticulin OS=Leishmania infantum OX=5671 GN=LINF_310034100 PE=3 SV=1"
"282","Carbonic anhydrase-like protein OS=Leishmania infantum OX=5671 GN=LINF_280007600 PE=4 SV=1"
"283","Carboxypeptidase OS=Leishmania infantum OX=5671 GN=LINF_180009500 PE=3 SV=1"
"284","Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130005800 PE=4 SV=1"
"285","Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140006700 PE=4 SV=1"
"286","Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330034600 PE=4 SV=1"
"287","Carnitine/choline_acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290019000 PE=3 SV=1"
"288","CAS/CSE/importin_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300039600 PE=3 SV=1"
"289","Casein kinase II subunit beta OS=Leishmania infantum OX=5671 GN=LINF_360060400 PE=3 SV=1"
"290","Casein_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350014800 PE=3 SV=1"
"291","Casein_kinase_II_-_alpha_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_020008600 PE=3 SV=1"
"292","Casein_kinase_II_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350022200 PE=3 SV=1"
"293","Cathepsin L-like protease OS=Leishmania infantum OX=5671 GN=cpb PE=3 SV=1"
"294","Cation-transporting ATPase OS=Leishmania infantum OX=5671 GN=LINF_070017000 PE=3 SV=1"
"295","CBF/Mak21_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270021400 PE=3 SV=1"
"296","CCR4-NOT transcription complex subunit 11 OS=Leishmania infantum OX=5671 GN=LINF_230005100 PE=3 SV=1"
"297","CCR4-NOT_transcription_complex_subunit_10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070900 PE=3 SV=1"
"298","CCT-alpha OS=Leishmania infantum OX=5671 GN=LINF_320040200 PE=3 SV=1"
"299","CCT-beta OS=Leishmania infantum OX=5671 GN=LINF_270019000 PE=3 SV=1"
"300","CCT-theta OS=Leishmania infantum OX=5671 GN=LINF_360081100 PE=3 SV=1"
"301","CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Leishmania infantum OX=5671 GN=LINF_260030400 PE=3 SV=1"
"302","Cell differentiation protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_340051700 PE=3 SV=1"
"303","Cell division protein kinase 2 OS=Leishmania infantum OX=5671 GN=CRK1 PE=3 SV=1"
"304","Cell_cycle_associated_protein_MOB1_-_putative OS=Leishmania infantum OX=5671 GN=MOB1 PE=4 SV=1"
"305","Cell_cycle_sequence_binding_phosphoprotein_(RBP33 )_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350014200 PE=4 SV=1"
"306","Centrin-4_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220020200 PE=4 SV=1"
"307","Centromere/microtubule_binding_protein_cbf5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210027400 PE=3 SV=1"
"308","Chaperone_protein_DNAj_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040014400 PE=3 SV=1"
"309","Chaperone_protein_DNAj_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320040500 PE=4 SV=1"
"310","Chaperone_protein_DNAj_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350035100 PE=3 SV=1"
"311","Chaperone_protein_DNAj_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350052100 PE=4 SV=1"
"312","Chaperone_protein_DNAj_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360072700 PE=4 SV=1"
"313","Chaperonin HSP60, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360027100 PE=3 SV=1"
"314","Chaperonin HSP60, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360027200 PE=3 SV=1"
"315","Chaperonin_containing_t-complex_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320015700 PE=3 SV=1"
"316","Chaperonin_HSP60/CNP60_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300033500 PE=3 SV=1"
"317","Chaperonin_HSP60_-_mitochondrial_precursor OS=Leishmania infantum OX=5671 GN=LINF_320024300 PE=3 SV=1"
"318","Chaperonin_TCP20_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022100 PE=3 SV=1"
"319","Chlamydia_CHLPS_protein_(DUF818)/Alpha /beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350033300 PE=4 SV=2"
"320","Choline dehydrogenase, like protein OS=Leishmania infantum OX=5671 GN=LINF_210024700 PE=3 SV=2"
"321","CHORD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200022700 PE=4 SV=1"
"322","Citrate synthase OS=Leishmania infantum OX=5671 GN=LINF_180012200 PE=3 SV=1"
"323","Citrulline--aspartate ligase OS=Leishmania infantum OX=5671 GN=LINF_160011200 PE=3 SV=1"
"324","Clathrin heavy chain OS=Leishmania infantum OX=5671 GN=LINF_360022600 PE=3 SV=1"
"325","Clathrin light chain OS=Leishmania infantum OX=5671 GN=LINJ_19_0100 PE=3 SV=1"
"326","Cleavage and polyadenylation specificity factor subunit 2 OS=Leishmania infantum OX=5671 GN=LINF_250006800 PE=3 SV=1"
"327","Cleavage and polyadenylation specificity factor-like protein OS=Leishmania infantum OX=5671 GN=LINF_320019100 PE=4 SV=1"
"328","Cleavage_and_polyadenylation_specificity_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041200 PE=4 SV=1"
"329","Coatomer subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_340050900 PE=3 SV=1"
"330","Coatomer subunit beta OS=Leishmania infantum OX=5671 GN=LINF_200018700 PE=4 SV=1"
"331","Coatomer subunit beta' OS=Leishmania infantum OX=5671 GN=LINF_330042200 PE=3 SV=1"
"332","Coatomer subunit delta OS=Leishmania infantum OX=5671 GN=LINF_160017600 PE=3 SV=1"
"333","Coatomer subunit epsilon OS=Leishmania infantum OX=5671 GN=LINF_320023000 PE=3 SV=1"
"334","Coatomer subunit gamma OS=Leishmania infantum OX=5671 GN=LINF_280033500 PE=3 SV=1"
"335","Coatomer subunit zeta OS=Leishmania infantum OX=5671 GN=LINF_350006200 PE=3 SV=1"
"336","Component of oligomeric Golgi complex 7 OS=Leishmania infantum OX=5671 GN=LINF_260019800 PE=3 SV=1"
"337","Component_of_IIS_longevity_pathway_SMK-1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310038600 PE=4 SV=1"
"338","COP-coated vesicle membrane protein erv25 OS=Leishmania infantum OX=5671 GN=LINF_360028600 PE=3 SV=1"
"339","COP-coated vesicle membrane protein gp25L OS=Leishmania infantum OX=5671 GN=LINF_350023400 PE=3 SV=1"
"340","Cop-coated vesicle membrane protein p24 OS=Leishmania infantum OX=5671 GN=LINF_320026300 PE=3 SV=1"
"341","Coproporphyrinogen oxidase OS=Leishmania infantum OX=5671 GN=LINF_060018900 PE=3 SV=1"
"342","Cornichon_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320045600 PE=3 SV=1"
"343","Coronin OS=Leishmania infantum OX=5671 GN=CRN12 PE=3 SV=1"
"344","CPC_cysteine_peptidase_-_Clan_CA_-_family_C1_-_Cathepsin_B-like OS=Leishmania infantum OX=5671 GN=LINF_290013400 PE=3 SV=1"
"345","CPSF_A_subunit_region_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050014100 PE=4 SV=2"
"346","CRAL/TRIO_-_N-terminal_domain/CRAL /TRIO_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300021700 PE=4 SV=1"
"347","CS domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_28_2320 PE=4 SV=2"
"348","CS_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350050500 PE=4 SV=1"
"349","CTP synthase OS=Leishmania infantum OX=5671 GN=LINF_200011000 PE=3 SV=1"
"350","Cupin-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260017900 PE=4 SV=1"
"351","Cyclic_nucleotide-binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150019300 PE=4 SV=1"
"352","Cyclin_1 OS=Leishmania infantum OX=5671 GN=LINF_090011900 PE=3 SV=1"
"353","Cyclophilin 40 OS=Leishmania infantum OX=5671 GN=CYP40 PE=4 SV=1"
"354","Cyclophilin_15_-_putative OS=Leishmania infantum OX=5671 GN=CYP15 PE=4 SV=1"
"355","Cystathione_gamma_lyase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350037700 PE=3 SV=1"
"356","Cystathionine beta-synthase OS=Leishmania infantum OX=5671 GN=CYSB PE=4 SV=1"
"357","Cysteine conjugate beta-lyase,aminotransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_330021300 PE=4 SV=1"
"358","Cysteine desulfurase OS=Leishmania infantum OX=5671 GN=LINF_270017000 PE=3 SV=1"
"359","Cysteine peptidase A (CPA) OS=Leishmania infantum OX=5671 GN=CPA PE=3 SV=1"
"360","Cysteine synthase OS=Leishmania infantum OX=5671 GN=LINF_360044500 PE=4 SV=2"
"361","Cysteine_peptidase-__Clan_CA-__family_C19_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090008000 PE=4 SV=1"
"362","Cysteine_peptidase_-_Clan_CA_-_family_C2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040009500 PE=4 SV=1"
"363","Cysteine_peptidase_-_Clan_CA_-_family_C2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200016800 PE=4 SV=2"
"364","Cysteine_peptidase_-_Clan_CA_-_family_C51_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330037900 PE=4 SV=1"
"365","Cytochrome c oxidase subunit I OS=Leishmania infantum OX=5671 GN=LINF_360082300 PE=4 SV=1"
"366","Cytochrome c oxidase subunit IV OS=Leishmania infantum OX=5671 GN=LINF_120011900 PE=4 SV=1"
"367","Cytochrome p450-like protein OS=Leishmania infantum OX=5671 GN=LINF_300041300 PE=3 SV=1"
"368","Cytochrome_b5-like_Heme /Steroid_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340037200 PE=4 SV=1"
"369","Cytochrome_b5-like_Heme /Steroid_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360078500 PE=4 SV=1"
"370","Cytochrome_b5-like_protein_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090022500 PE=4 SV=1"
"371","Cytochrome_c_oxidase_assembly_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040016400 PE=3 SV=1"
"372","Cytochrome_c_oxidase_subunit_V_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260022200 PE=4 SV=1"
"373","Cytochrome_c_oxidase_subunit_VI_-_putative OS=Leishmania infantum OX=5671 GN=COX6 PE=4 SV=1"
"374","Cytochrome_c_oxidase_VII_-_putativeGeneDB:LmjF.25.1130 OS=Leishmania infantum OX=5671 GN=LINF_250017400 PE=4 SV=1"
"375","Cytochrome_c1_-_heme_protein_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070005600 PE=4 SV=1"
"376","Cytochrome-b5_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320029800 PE=4 SV=1"
"377","Cytoplasmic_translation_machinery_associated_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110006700 PE=4 SV=1"
"378","Cytoskeleton-associated_protein_CAP5.5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310009700 PE=4 SV=1"
"379","Cytosolic Fe-S cluster assembly factor NUBP2 homolog OS=Leishmania infantum OX=5671 GN=LINF_260009300 PE=3 SV=1"
"380","Cytosolic leucyl aminopeptidase OS=Leishmania infantum OX=5671 GN=LAP PE=3 SV=1"
"381","Cytosolic peroxiredoxin OS=Leishmania infantum OX=5671 GN=TRYP PE=3 SV=1"
"382","D-3-phosphoglycerate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_030005200 PE=3 SV=1"
"383","DDRGK_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030008200 PE=4 SV=1"
"384","DEAD/DEAH_box_helicase /Type_III_restriction_enzyme_-_res_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030011900 PE=4 SV=1"
"385","DEAD_box_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360028400 PE=3 SV=1"
"386","DEAD-box_ATP-dependent_RNA_helicase_-_mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_280027400 PE=3 SV=1"
"387","Degradation_arginine-rich_protein_for_mis-folding_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350016900 PE=3 SV=1"
"388","Dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_100005800 PE=3 SV=1"
"389","Developmentally_regulated_GTP-binding_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360029600 PE=4 SV=1"
"390","Diadenosine tetraphosphate synthetase OS=Leishmania infantum OX=5671 GN=LINF_360047300 PE=3 SV=1"
"391","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_050006700 PE=3 SV=1"
"392","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_280031300 PE=3 SV=1"
"393","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_360034400 PE=3 SV=1"
"394","Dihydrolipoamide acetyltransferaselike protein OS=Leishmania infantum OX=5671 GN=LINF_210011100 PE=4 SV=1"
"395","Dihydrolipoamide_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=GCVL-1 PE=3 SV=1"
"396","Dihydrolipoyl dehydrogenase OS=Leishmania infantum OX=5671 GN=GCVL-2 PE=3 SV=1"
"397","Dihydroorotase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160011100 PE=4 SV=1"
"398","Dihydroorotate dehydrogenase (fumarate) OS=Leishmania infantum OX=5671 GN=DHODH PE=3 SV=1"
"399","Dihydroxyacetone kinase 1-like protein OS=Leishmania infantum OX=5671 GN=LINF_100009600 PE=4 SV=1"
"400","Dimethylargininase OS=Leishmania infantum OX=5671 GN=LINF_080017500 PE=3 SV=1"
"401","Dipeptidyl peptidase 3 OS=Leishmania infantum OX=5671 GN=LINF_050014800 PE=3 SV=1"
"402","Dipeptidyl-peptidase_8-like_serine_peptidase OS=Leishmania infantum OX=5671 GN=LINF_360031600 PE=4 SV=1"
"403","Dipeptylcarboxypeptidase OS=Leishmania infantum OX=5671 GN=DCP PE=3 SV=2"
"404","Diphosphomevalonate decarboxylase OS=Leishmania infantum OX=5671 GN=LINF_180005200 PE=3 SV=1"
"405","D-isomer specific 2-hydroxyacid dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_340021200 PE=4 SV=1"
"406","Divalent_cation_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280025900 PE=4 SV=1"
"407","D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_270027300 PE=4 SV=1"
"408","D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290007800 PE=4 SV=1"
"409","DNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_080013300 PE=3 SV=1"
"410","DNA topoisomerase OS=Leishmania infantum OX=5671 GN=LINF_280024100 PE=3 SV=1"
"411","DNA-directed RNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_160019300 PE=3 SV=1"
"412","DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250011500 PE=3 SV=1"
"413","DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_310006600 PE=3 SV=1"
"414","DNA-directed RNA polymerase subunit OS=Leishmania infantum OX=5671 GN=RPOIILS PE=3 SV=1"
"415","DnaJ_domain/Domain_of_uncharacterized_function_(D UF3395)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014300 PE=4 SV=1"
"416","DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260019100 PE=4 SV=1"
"417","DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310010500 PE=4 SV=1"
"418","DNAJ_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240010000 PE=4 SV=1"
"419","DnaJ_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210010300 PE=3 SV=1"
"420","DNAj-like protein OS=Leishmania infantum OX=5671 GN=LINF_250017100 PE=4 SV=1"
"421","Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016000 PE=3 SV=1"
"422","Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016300 PE=3 SV=1"
"423","Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016400 PE=3 SV=1"
"424","Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINJ_35_1150 PE=3 SV=1"
"425","Dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl_alpha-1_-3-mannosyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029600 PE=4 SV=1"
"426","Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017900 PE=4 SV=1"
"427","Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_340007000 PE=4 SV=1"
"428","Domain_of_uncharacterized_function_(DUF202)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_140016500 PE=4 SV=1"
"429","Domain_of_uncharacterized_function_(DUF3819)/CCR4 -Not_complex_component_-_Not1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210013800 PE=4 SV=1"
"430","Domain_of_uncharacterized_function_(DUF4042 )/HEAT-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210015700 PE=4 SV=1"
"431","Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_290028700 PE=4 SV=1"
"432","Domain_of_uncharacterized_function_(DUF4499)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_210016000 PE=4 SV=1"
"433","Domain_of_uncharacterized_function_(DUF543)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_270022100 PE=3 SV=1"
"434","D-Tyr-tRNA(Tyr)_deacylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340040600 PE=4 SV=1"
"435","Dual_specificity_protein_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270029300 PE=4 SV=1"
"436","Dymeclin OS=Leishmania infantum OX=5671 GN=LINF_010008900 PE=3 SV=1"
"437","Dynamin-1-like_protein OS=Leishmania infantum OX=5671 GN=LINF_290029700 PE=3 SV=1"
"438","Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022000 PE=4 SV=1"
"439","Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250015700 PE=4 SV=2"
"440","Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024300 PE=4 SV=1"
"441","Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049400 PE=4 SV=2"
"442","Dynein_heavy_chain_and_region_D6_of_dynein_motor/ Ankyrin_repeats_(3_copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350059000 PE=4 SV=1"
"443","Dynein-associated roadblock protein-like protein OS=Leishmania infantum OX=5671 GN=LINJ_35_1740 PE=3 SV=1"
"444","E3 ubiquitin-protein ligase OS=Leishmania infantum OX=5671 GN=LINF_090013600 PE=3 SV=1"
"445","EAP30/Vps36_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340021900 PE=3 SV=1"
"446","EF-hand_domain_pair/EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044800 PE=4 SV=1"
"447","Electron transfer flavoprotein subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_280017100 PE=3 SV=1"
"448","Electron transfer flavoprotein subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250006300 PE=3 SV=1"
"449","Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Leishmania infantum OX=5671 GN=LINF_070011500 PE=4 SV=1"
"450","Elongation factor 1-alpha OS=Leishmania infantum OX=5671 GN=LINF_170005900 PE=3 SV=1"
"451","Elongation factor 1-beta OS=Leishmania infantum OX=5671 GN=eEF1B beta 2 PE=3 SV=1"
"452","Elongation factor 2 OS=Leishmania infantum OX=5671 GN=EF2-1 PE=3 SV=1"
"453","Elongation factor 2-like protein OS=Leishmania infantum OX=5671 GN=LINF_250027700 PE=3 SV=1"
"454","Elongation factor G, mitochondrial OS=Leishmania infantum OX=5671 GN=MEFG PE=3 SV=1"
"455","Elongation factor Ts, mitochondrial OS=Leishmania infantum OX=5671 GN=LinJ29.0880 PE=3 SV=1"
"456","Elongation factor-1 gamma OS=Leishmania infantum OX=5671 GN=EF1G PE=4 SV=1"
