Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
DEAD_box_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360028400 PE=3 SV=1,8,7,6,10,4,8,8,7,4,3,5
DEAD-box_ATP-dependent_RNA_helicase_-_mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_280027400 PE=3 SV=1,12,11,8,7,6,14,12,9,15,8,12
Degradation_arginine-rich_protein_for_mis-folding_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350016900 PE=3 SV=1,8,14,10,19,9,16,9,18,12,10,19
Dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_100005800 PE=3 SV=1,23,11,17,2,7,5,2,29,5,13,18
Delta-12 fatty acid desaturase OS=Leishmania infantum OX=5671 GN=LINF_330042900 PE=4 SV=1,0,0,0,4,0,1,0,0,0,0,0
Deoxyuridine_triphosphatase_-_putative OS=Leishmania infantum OX=5671 GN=DUT PE=4 SV=1,0,0,1,0,2,0,0,2,0,0,0
Developmentally_regulated_GTP-binding_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360029600 PE=4 SV=1,15,11,12,17,8,12,15,13,14,8,12
Diadenosine tetraphosphate synthetase OS=Leishmania infantum OX=5671 GN=LINF_360047300 PE=3 SV=1,58,61,68,59,66,50,72,61,64,66,73
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_050006700 PE=3 SV=1,7,8,8,10,11,10,11,5,16,16,7
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_280031300 PE=3 SV=1,38,39,51,53,49,75,53,60,56,35,58
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Leishmania infantum OX=5671 GN=LINF_360034400 PE=3 SV=1,62,53,56,52,51,48,52,48,60,60,42
Dihydrolipoamide acetyltransferaselike protein OS=Leishmania infantum OX=5671 GN=LINF_210011100 PE=4 SV=1,22,15,22,15,18,20,18,18,22,18,20
Dihydrolipoamide_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=GCVL-1 PE=3 SV=1,7,3,4,2,1,12,4,3,11,3,11
Dihydrolipoyl dehydrogenase OS=Leishmania infantum OX=5671 GN=GCVL-2 PE=3 SV=1,83,72,94,100,89,63,93,71,101,81,73
Dihydroorotase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160011100 PE=4 SV=1,1,1,1,1,2,0,3,0,1,1,0
Dihydroorotate dehydrogenase (fumarate) OS=Leishmania infantum OX=5671 GN=DHODH PE=3 SV=1,4,5,3,8,3,2,7,1,5,3,4
Dihydroxyacetone kinase 1-like protein OS=Leishmania infantum OX=5671 GN=LINF_100009600 PE=4 SV=1,4,2,6,2,2,8,7,11,5,4,9
Dimethylargininase OS=Leishmania infantum OX=5671 GN=LINF_080017500 PE=3 SV=1,12,19,41,27,30,11,22,10,21,24,21
Dipeptidyl peptidase 3 OS=Leishmania infantum OX=5671 GN=LINF_050014800 PE=3 SV=1,92,90,113,57,96,75,88,82,179,171,74
Dipeptidyl-peptidase_8-like_serine_peptidase OS=Leishmania infantum OX=5671 GN=LINF_360031600 PE=4 SV=1,10,10,6,5,7,9,9,10,11,8,10
Dipeptylcarboxypeptidase OS=Leishmania infantum OX=5671 GN=DCP PE=3 SV=2,14,37,24,44,50,16,40,46,6,36,16
Diphosphomevalonate decarboxylase OS=Leishmania infantum OX=5671 GN=LINF_180005200 PE=3 SV=1,20,19,25,29,38,20,40,23,51,22,22
Diphthine methyl ester synthase OS=Leishmania infantum OX=5671 GN=LINF_310023400 PE=3 SV=1,0,0,3,0,3,2,1,3,2,1,4
D-isomer specific 2-hydroxyacid dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_340021200 PE=4 SV=1,48,74,94,51,73,14,71,59,0,55,26
Divalent_cation_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280025900 PE=4 SV=1,4,4,2,6,4,1,9,0,3,5,3
D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_270027300 PE=4 SV=1,1,2,2,0,1,0,0,0,1,4,0
D-lactate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290007800 PE=4 SV=1,4,7,8,6,7,2,3,6,7,12,4
DNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_080013300 PE=3 SV=1,1,1,2,2,4,3,4,2,2,2,2
DNA topoisomerase I OS=Leishmania infantum OX=5671 GN=LINF_340041300 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0
DNA topoisomerase OS=Leishmania infantum OX=5671 GN=LINF_210006600 PE=3 SV=1,0,2,1,0,0,0,0,0,0,1,0
DNA topoisomerase OS=Leishmania infantum OX=5671 GN=LINF_280024100 PE=3 SV=1,4,7,5,2,5,2,5,4,8,6,4
DNA-directed RNA polymerase OS=Leishmania infantum OX=5671 GN=LINF_160019300 PE=3 SV=1,5,9,3,3,2,1,2,0,0,2,1
DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250011500 PE=3 SV=1,1,3,2,0,1,0,1,0,0,1,0
DNA-directed RNA polymerase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_310006600 PE=3 SV=1,12,8,17,7,15,4,11,11,8,3,6
DNA-directed RNA polymerase subunit OS=Leishmania infantum OX=5671 GN=RPOIILS PE=3 SV=1,17,15,15,9,20,7,14,5,8,8,8
Dnaj chaperone-like protein OS=Leishmania infantum OX=5671 GN=LINF_330016300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain/C2H2_type_zinc-finger_(2_copies )/Zinc-finger_of_C2H2_type/Zinc-finger_double-stranded_RNA-binding_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250029000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain/Domain_of_uncharacterized_function_(D UF3395)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014300 PE=4 SV=1,12,13,9,13,7,7,13,2,8,8,12
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180008300 PE=4 SV=2,0,0,0,3,0,0,1,1,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260017000 PE=4 SV=1,0,3,1,3,1,0,2,0,1,1,1
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260019100 PE=4 SV=1,1,0,2,3,1,0,1,0,0,0,1
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260031000 PE=4 SV=1,0,0,2,1,0,0,6,3,1,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310010500 PE=4 SV=1,2,5,6,9,5,3,5,2,2,3,3
DNAJ_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240010000 PE=4 SV=1,15,9,11,22,21,15,18,17,13,14,19
DnaJ_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210010300 PE=3 SV=1,7,10,5,9,11,2,8,1,11,9,0
DNAj-like protein OS=Leishmania infantum OX=5671 GN=LINF_250017100 PE=4 SV=1,6,3,2,7,2,3,2,3,5,2,1
DNL_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250013800 PE=4 SV=1,0,0,1,3,0,0,0,0,0,0,0
Dolichol-phosphate mannosyltransferase subunit 1 OS=Leishmania infantum OX=5671 GN=DPMS PE=3 SV=1,0,0,0,2,1,0,0,0,0,1,1
Dolicholphosphate-mannose_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360008300 PE=4 SV=1,0,2,2,1,0,3,2,6,3,2,3
Dolichyl_pyrophosphate_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300009100 PE=4 SV=1,0,1,3,1,2,0,3,2,2,0,2
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016000 PE=3 SV=1,15,15,13,37,19,17,13,16,13,15,21
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016300 PE=3 SV=1,8,8,7,21,9,5,5,6,5,8,10
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016400 PE=3 SV=1,12,14,10,41,19,16,11,16,12,12,21
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINJ_35_1150 PE=3 SV=1,15,16,13,40,19,16,13,15,15,15,21
Dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl_alpha-1_-3-mannosyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029600 PE=4 SV=1,2,2,3,4,3,2,3,1,2,1,3
Domain_of_uncharacterized_function_(DUF1767)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_230005900 PE=4 SV=1,1,3,1,0,0,0,1,1,0,0,1
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017900 PE=4 SV=1,4,13,19,2,7,7,5,15,9,8,8
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_250024200 PE=4 SV=1,0,1,0,0,0,0,0,4,1,0,1
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_340007000 PE=4 SV=1,7,9,14,2,4,9,7,45,13,7,16
Domain_of_uncharacterized_function_(DUF202)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_140016500 PE=4 SV=1,1,3,2,1,3,2,2,2,5,3,5
Domain_of_uncharacterized_function_(DUF3819)/CCR4 -Not_complex_component_-_Not1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210013800 PE=4 SV=1,59,59,82,75,78,47,71,67,87,60,57
Domain_of_uncharacterized_function_(DUF3846 )/TPR_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF4042 )/HEAT-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210015700 PE=4 SV=1,1,2,1,4,3,0,1,3,2,2,3
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_290028700 PE=4 SV=1,3,7,2,1,3,2,1,4,5,2,1
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_300014900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF4499)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_210016000 PE=4 SV=1,3,2,2,4,2,4,3,2,3,3,2
Domain_of_uncharacterized_function_(DUF543)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_270022100 PE=3 SV=1,11,11,10,12,10,13,13,11,12,12,13
Double_RNA_binding_domain_protein_7 OS=Leishmania infantum OX=5671 GN=LINF_340051800 PE=4 SV=1,0,1,0,1,2,1,2,1,0,0,0
D-Tyr-tRNA(Tyr)_deacylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340040600 PE=4 SV=1,7,3,4,3,5,6,6,6,3,4,5
Dual_specificity_protein_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270029300 PE=4 SV=1,4,3,2,2,1,2,4,1,0,1,1
D-xylulose_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330011700 PE=3 SV=1,0,0,6,0,1,0,0,11,0,0,0
Dymeclin OS=Leishmania infantum OX=5671 GN=LINF_010008900 PE=3 SV=1,1,3,2,1,3,0,1,1,1,2,6
Dynamin_family/50S_ribosome-binding_GTPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340028100 PE=4 SV=1,0,0,2,1,0,0,0,0,1,1,0
Dynamin-1-like_protein OS=Leishmania infantum OX=5671 GN=LINF_290029700 PE=3 SV=1,64,46,63,59,50,67,63,75,76,53,69
Dynein intermediate-chain-like protein OS=Leishmania infantum OX=5671 GN=LINF_240007500 PE=4 SV=1,0,0,0,0,0,0,0,4,0,2,0
Dynein light chain OS=Leishmania infantum OX=5671 GN=LINF_320007400 PE=3 SV=1,0,0,2,2,1,1,1,2,4,0,1
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022000 PE=4 SV=1,14,11,13,23,8,5,8,55,6,28,7
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250015700 PE=4 SV=2,7,7,5,12,3,2,2,44,5,18,5
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024300 PE=4 SV=1,15,23,18,14,15,9,16,26,20,26,14
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049400 PE=4 SV=2,24,20,27,17,18,18,24,37,21,23,22
Dynein_heavy_chain_and_region_D6_of_dynein_motor/ Ankyrin_repeats_(3_copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350059000 PE=4 SV=1,5,6,5,0,3,2,8,9,2,6,2
Dynein-associated roadblock protein-like protein OS=Leishmania infantum OX=5671 GN=LINJ_35_1740 PE=3 SV=1,2,3,2,5,3,3,4,5,3,3,3
E3 ubiquitin-protein ligase OS=Leishmania infantum OX=5671 GN=LINF_090013600 PE=3 SV=1,2,9,11,4,2,0,5,8,20,14,4
EAP30/Vps36_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340021900 PE=3 SV=1,3,3,2,2,3,2,3,3,3,2,4
Ecotin-like protein 1 OS=Leishmania infantum OX=5671 GN=ISP1 PE=3 SV=1,0,0,1,0,1,0,1,2,0,0,0
Ecotin-like protein 3 OS=Leishmania infantum OX=5671 GN=LinJ15.0540 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160014800 PE=4 SV=1,0,1,3,0,0,2,0,3,1,0,3
EF-hand_domain_pair/EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044800 PE=4 SV=1,2,2,2,2,2,2,4,2,2,2,2
Ef-hand_protein_5_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090015300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Electron transfer flavoprotein subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_280017100 PE=3 SV=1,44,24,30,28,34,37,36,39,41,32,38
Electron transfer flavoprotein subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250006300 PE=3 SV=1,1,3,0,3,2,4,4,5,12,6,6
Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Leishmania infantum OX=5671 GN=LINF_070011500 PE=4 SV=1,15,18,16,8,8,15,18,22,33,16,20
Elongation factor 1-alpha OS=Leishmania infantum OX=5671 GN=LINF_170005900 PE=3 SV=1,503,565,401,547,449,1034,598,695,750,359,694
Elongation factor 1-beta OS=Leishmania infantum OX=5671 GN=eEF1B beta 2 PE=3 SV=1,20,40,28,24,24,33,31,32,38,25,31
Elongation factor 2 OS=Leishmania infantum OX=5671 GN=EF2-1 PE=3 SV=1,749,798,581,638,684,769,770,670,619,570,697
Elongation factor 2-like protein OS=Leishmania infantum OX=5671 GN=LINF_250027700 PE=3 SV=1,3,2,0,2,3,2,3,1,1,4,2
"Elongation factor G, mitochondrial OS=Leishmania infantum OX=5671 GN=MEFG PE=3 SV=1",15,15,22,31,26,12,25,8,16,15,6
"Elongation factor Ts, mitochondrial OS=Leishmania infantum OX=5671 GN=LinJ29.0880 PE=3 SV=1",5,3,4,5,7,4,5,2,5,6,6
Elongation factor-1 gamma OS=Leishmania infantum OX=5671 GN=EF1G PE=4 SV=1,65,63,68,80,85,89,71,88,84,63,88
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012000 PE=3 SV=1,9,3,3,7,6,0,9,0,1,3,2
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012100 PE=3 SV=1,20,16,15,17,16,10,17,10,16,15,15
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012200 PE=3 SV=1,11,6,7,13,8,5,12,7,14,10,14
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012300 PE=3 SV=1,28,22,20,28,20,9,31,11,15,25,26
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012800 PE=3 SV=1,3,3,2,4,3,2,6,2,1,2,2
Elongation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250006400 PE=4 SV=1,24,22,13,22,17,13,13,11,8,21,12
Elongation_factor_P_(EF-P)_KOW-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250023100 PE=4 SV=1,8,4,3,6,4,7,4,4,4,7,6
Elongation_factor_Tu_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180012600 PE=3 SV=1,39,48,59,50,72,40,62,25,68,38,26
Emopamil_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017300 PE=4 SV=1,2,3,1,3,1,2,3,3,2,1,5
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017400 PE=3 SV=1,2,2,4,3,6,6,3,5,4,2,1
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017500 PE=3 SV=1,0,1,0,2,0,0,1,0,0,0,0
Endoplasmic_reticulum_oxidoreductin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160021400 PE=3 SV=1,4,4,2,9,4,4,3,3,8,4,2
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036000 PE=4 SV=1,0,0,2,0,1,1,2,1,4,2,2
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Endoribonuclease_L-PSP_(Pb5)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230007100 PE=4 SV=1,78,61,57,66,58,69,67,57,68,70,75
Engulfment_and_cell_motility_domain_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260023800 PE=4 SV=1,1,1,2,3,3,2,2,2,2,1,4
"Enoyl-CoA hydratase/isomerase family protein,conserved OS=Leishmania infantum OX=5671 GN=LINF_350008700 PE=4 SV=1",2,5,6,9,12,7,7,5,8,6,6
Enoyl-CoA hydratase/isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290030800 PE=3 SV=1,5,0,1,1,5,8,5,2,7,2,10
Enoyl-CoA_hydratase/isomerase_family/2-enoyl-CoA_Hydratase_C-terminal_region_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041200 PE=4 SV=1,3,1,5,1,2,1,3,3,1,2,1
Enoyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250024400 PE=3 SV=1,62,44,44,60,50,42,45,46,55,43,48
Enriched_in_surface-labeled_proteome_protein_16 OS=Leishmania infantum OX=5671 GN=LINF_320026100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Epsin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250012000 PE=4 SV=1,6,6,4,4,5,4,3,7,4,4,4
ER membrane protein complex subunit 1 OS=Leishmania infantum OX=5671 GN=LINF_340049100 PE=3 SV=2,46,46,34,58,47,35,42,29,25,45,36
ER membrane protein complex subunit 2 OS=Leishmania infantum OX=5671 GN=LINF_170008100 PE=3 SV=1,0,0,0,2,1,3,0,1,1,1,0
ER membrane protein complex subunit 3 OS=Leishmania infantum OX=5671 GN=LINF_360008800 PE=3 SV=1,6,4,5,6,6,6,5,5,3,3,6
ER membrane protein complex subunit 6 OS=Leishmania infantum OX=5671 GN=LINF_320037200 PE=3 SV=1,2,0,0,2,0,0,0,0,0,0,0
ERF1_domain_1/eRF1_domain_2/eRF1_domain_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024100 PE=3 SV=1,23,19,16,25,21,22,24,17,21,15,18
Ethanolamine-phosphate_cytidylyltransferase OS=Leishmania infantum OX=5671 GN=LINF_320014500 PE=3 SV=1,2,2,1,2,3,3,6,2,3,0,1
Eukaryotic translation initiation factor 2A OS=Leishmania infantum OX=5671 GN=LINF_160012300 PE=3 SV=1,1,4,3,1,3,0,1,2,1,4,0
Eukaryotic translation initiation factor 3 subunit 7-like protein OS=Leishmania infantum OX=5671 GN=LINF_300036000 PE=4 SV=1,31,34,30,28,32,21,25,22,31,22,24
Eukaryotic translation initiation factor 3 subunit E OS=Leishmania infantum OX=5671 GN=LINF_280029900 PE=3 SV=1,15,23,16,18,27,20,16,22,14,17,19
Eukaryotic translation initiation factor 3 subunit I OS=Leishmania infantum OX=5671 GN=LINF_360047700 PE=3 SV=1,22,25,18,23,24,18,19,16,24,22,16
Eukaryotic translation initiation factor 3 subunit L OS=Leishmania infantum OX=5671 GN=LINF_360007700 PE=3 SV=1,41,30,33,46,41,41,45,33,42,23,43
Eukaryotic translation initiation factor 5B OS=Leishmania infantum OX=5671 GN=LINF_330036700 PE=4 SV=1,23,22,15,18,13,14,26,14,24,19,15
Eukaryotic translation initiation factor 6 OS=Leishmania infantum OX=5671 GN=EIF6 PE=3 SV=1,16,15,13,14,19,13,17,8,12,13,9
Eukaryotic_initiation_factor_2a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030014900 PE=3 SV=1,28,35,26,33,36,41,38,39,30,23,38
Eukaryotic_protein_of_uncharacterized_function_(D UF866)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009300 PE=4 SV=1,3,2,2,4,4,0,2,0,7,6,0
Eukaryotic_protein_of_uncharacterized_function_(D UF914)/EamA-like_transporter_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic_release_factor_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017700 PE=4 SV=1,24,27,17,27,21,22,20,14,19,33,21
Eukaryotic_translation_initation_factor_4_gamma_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070500 PE=4 SV=1,34,33,22,31,37,28,43,27,35,19,31
Eukaryotic_translation_initiation_factor_1A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160006500 PE=3 SV=1,6,5,2,4,6,1,3,3,6,6,2
Eukaryotic_translation_initiation_factor_2_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080010700 PE=3 SV=1,20,29,28,27,27,19,26,22,35,23,18
Eukaryotic_translation_initiation_factor_3_subunit_8_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360081900 PE=4 SV=1,91,106,76,93,84,77,96,67,91,87,69
Eukaryotic_translation_initiation_factor_4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032200 PE=3 SV=1,17,12,16,18,18,14,19,15,14,12,10
Eukaryotic_translation_initiation_factor_5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340008600 PE=4 SV=1,10,7,9,11,19,14,5,16,15,6,9
Eukaryotic_translation_initiation_factor_eIF-4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270023100 PE=3 SV=1,7,4,5,5,9,8,6,5,6,4,7
"Exosome subunit rrp6p homologue, putative OS=Leishmania infantum OX=5671 GN=LINF_340037400 PE=4 SV=1",6,8,5,8,4,5,9,5,8,5,3
Exosome_complex_exonuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140005000 PE=4 SV=1,1,1,1,1,1,3,1,1,2,1,2
Exosome_complex_exonuclease_RRP40_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040006300 PE=4 SV=1,4,5,2,4,3,0,2,1,3,4,1
Exosome_complex_exonuclease_RRP45_homolog_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220022100 PE=3 SV=1,2,5,2,2,2,1,3,1,1,3,2
FACT complex subunit OS=Leishmania infantum OX=5671 GN=LINF_290005100 PE=3 SV=1,0,0,1,1,0,0,3,0,0,0,0
FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350013000 PE=4 SV=1,10,9,15,16,18,8,7,7,12,13,8
FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350016600 PE=4 SV=1,116,105,112,180,137,94,121,96,118,133,86
FAD_dependent_oxidoreductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320014900 PE=3 SV=1,2,2,0,4,0,2,5,2,0,0,2
Farnesyl pyrophosphate synthase OS=Leishmania infantum OX=5671 GN=FPPS PE=3 SV=1,8,8,13,14,19,11,22,12,23,7,15
Fatty acyl-CoA reductase OS=Leishmania infantum OX=5671 GN=LINF_240021900 PE=3 SV=1,9,2,0,4,1,2,15,0,0,2,5
Ferroxidase OS=Leishmania infantum OX=5671 GN=LINF_250016600 PE=3 SV=1,4,3,2,3,3,3,4,2,2,3,2
Fibrillarin OS=Leishmania infantum OX=5671 GN=LINF_360038800 PE=3 SV=1,11,11,12,14,13,5,18,9,15,16,7
Fibrillarin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190005800 PE=3 SV=1,13,16,13,11,11,9,12,10,15,14,11
Fip1_motif/Zinc_finger_C-x8-C-x5-C-x3-H_type_(And _similar)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050006800 PE=3 SV=1,2,0,1,0,2,0,0,0,1,0,0
Flagellar_Member_5 OS=Leishmania infantum OX=5671 GN=LINF_350029300 PE=4 SV=2,9,7,13,6,7,7,10,16,11,13,8
Flagellum_targeting_protein_kharon1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360068400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Flavoprotein subunit-like protein OS=Leishmania infantum OX=5671 GN=LINJ_07_0910 PE=4 SV=1,0,4,36,14,26,2,10,3,18,38,0
Formyltetrahydrofolate synthetase OS=Leishmania infantum OX=5671 GN=FTHS PE=3 SV=1,8,16,9,17,9,9,25,4,20,14,15
Fructose-bisphosphatase OS=Leishmania infantum OX=5671 GN=LINF_040016700 PE=3 SV=1,15,16,20,24,14,18,23,17,41,20,17
Fructose-bisphosphate aldolase OS=Leishmania infantum OX=5671 GN=ALD PE=3 SV=1,213,241,280,262,195,272,238,246,181,219,256
Fumarate hydratase OS=Leishmania infantum OX=5671 GN=fh PE=3 SV=1,31,39,25,27,24,40,24,45,34,35,37
Fumarate hydratase OS=Leishmania infantum OX=5671 GN=LINF_240007900 PE=3 SV=1,48,38,42,36,50,48,50,47,59,52,58
Fumarylacetoacetate_(FAA)_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350029700 PE=3 SV=1,12,7,5,6,8,9,8,6,8,10,11
G5-interacting_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320019400 PE=4 SV=1,12,13,11,16,19,12,16,13,10,11,11
GAF_domain/TIP41-like_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230025300 PE=3 SV=1,6,6,4,4,6,9,5,3,9,8,8
